Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BEN_R1_clean	14.939831681656571	36.0	50.60517450641184	9.090909090909092	1820850.0
BEN_R2_clean	18.841826789808678	36.0	50.04697696130928	9.090909090909092	1820850.0
BILL_R1_clean	13.176107808809377	36.0	51.636079263655944	9.090909090909092	1805569.0
BILL_R2_clean	15.878223293387023	36.0	49.70036260037695	9.090909090909092	1805569.0
BOB_R1_clean	10.149589597700981	36.0	50.86148056082872	9.090909090909092	1690427.0
BOB_R2_clean	13.082798301081866	36.0	50.294001456436746	9.090909090909092	1690427.0
BOP_R1_clean	8.888572825026912	37.0	52.655382463526564	9.090909090909092	1854569.0
BOP_R2_clean	11.34379227923148	37.0	52.13551396577857	9.090909090909092	1854569.0
CARL_R1_clean	16.61103000531392	36.0	50.37677447938897	9.090909090909092	1047279.0
CARL_R2_clean	17.797931318425597	36.0	48.81228784306761	9.090909090909092	1047279.0
CAR_R1_clean	37.50717039125876	36.0	53.56185263438445	9.090909090909092	1861004.0
CAR_R2_clean	38.13034961894469	36.0	52.251969367072824	9.090909090909092	1861004.0
CCS1_R1_clean	13.190825163495674	38.0	49.89656291412719	9.090909090909092	1325076.0
CCS1_R2_clean	11.157715569331756	38.0	44.119371266251896	9.090909090909092	1325076.0
CCS2_R1_clean	27.290618830078486	39.0	50.67676947610841	9.090909090909092	1880599.0
CCS2_R2_clean	26.937390729438746	39.0	40.58870604525473	9.090909090909092	1880599.0
CCS3_R1_clean	23.21567052108881	39.0	49.39335580775993	9.090909090909092	943591.0
CCS3_R2_clean	20.69292107675676	40.0	44.054546938239135	9.090909090909092	943591.0
CCS4_R1_clean	8.79358085942873	36.0	45.235565509252204	9.090909090909092	1345787.0
CCS4_R2_clean	10.303604288895698	36.0	42.33351042921354	9.090909090909092	1345787.0
CCS5_R1_clean	26.608635341838493	40.0	48.00432479071293	9.090909090909092	1121904.0
CCS5_R2_clean	25.30660694792384	40.0	45.118607296167944	9.090909090909092	1121904.0
OC10A_R1_clean	98.11993188736255	39.0	109.5445074040047	18.181818181818183	33516929.0
OC10A_R2_clean	80.56018896144249	39.0	87.43848504139505	9.090909090909092	33516929.0
OC10B_R1_clean	90.49884471344856	36.0	104.35292358193557	18.181818181818183	32513438.0
OC10B_R2_clean	69.06361864620642	36.0	83.3125875522607	9.090909090909092	32513438.0
OC2B_R1_clean	96.19882385236006	39.0	107.23268780136098	18.181818181818183	31880786.0
OC2B_R2_clean	77.89660242868752	39.0	88.15539961906836	9.090909090909092	31880786.0
OC3A_R1_clean	97.89838658666557	39.0	109.41798448378168	18.181818181818183	43990487.0
OC3A_R2_clean	80.43904901018459	39.0	85.85976838583305	9.090909090909092	43990487.0
OC3D_R1_clean	96.41120586220401	39.0	106.17329552205916	18.181818181818183	44182942.0
OC3D_R2_clean	78.78509684243686	39.0	89.47834942725181	9.090909090909092	44182942.0
OC5C_R1_clean	97.53699303830912	39.0	108.04862754892113	18.181818181818183	38062231.0
OC5C_R2_clean	81.47396449900415	39.0	89.70869482138343	9.090909090909092	38062231.0
OC8L_R1_clean	94.12439770541515	38.0	108.25561432900952	18.181818181818183	36251438.0
OC8L_R2_clean	72.7767793271363	38.0	85.4708500115223	9.090909090909092	36251438.0
SDS1_R1_clean	33.46420545360289	39.0	49.61126035550551	9.090909090909092	1802785.0
SDS1_R2_clean	36.76193566519533	39.0	47.66514365273729	9.090909090909092	1802785.0
SDS2_R1_clean	50.66594975063333	40.0	46.407869556328684	18.181818181818183	5585982.0
SDS2_R2_clean	55.983527878651316	40.0	45.526675882593246	18.181818181818183	5585982.0
TEX_R1_clean	13.672683098774357	37.0	51.55997256458447	9.090909090909092	1627094.0
TEX_R2_clean	16.983807281120022	37.0	50.70338529918985	9.090909090909092	1627094.0
UMP_R1_clean	16.233842050638174	37.0	51.77250726098356	9.090909090909092	1677803.0
UMP_R2_clean	21.26931375692	37.0	49.941584321878075	9.090909090909092	1677803.0
