Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BEN_R1	BEN_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2297047.0	0.0	35-75	36.0	71.54506978959519	62.43679515482269	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
BEN_R2	BEN_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2297047.0	0.0	35-75	37.0	71.70986840225076	62.702820186091095	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass
BILL_R1	BILL_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2276304.0	0.0	35-75	36.0	74.44585923391075	63.545642409801154	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
BILL_R2	BILL_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2276304.0	0.0	35-75	37.0	74.85394554796376	63.793351854585325	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass
BOB_R1	BOB_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2101603.0	0.0	35-75	36.0	78.73036621757245	63.14073638075317	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
BOB_R2	BOB_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2101603.0	0.0	35-75	36.0	78.81484285087662	63.38273165769177	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass
BOP_R1	BOP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2274382.0	0.0	35-75	37.0	79.46396719006152	65.5910141743999	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
BOP_R2	BOP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2274382.0	0.0	35-75	37.0	79.71159071502996	65.79121141479311	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass
CARL_R1	CARL_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1332617.0	0.0	35-75	36.0	67.83323259595876	62.26903303799966	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
CARL_R2	CARL_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1332617.0	0.0	35-75	36.0	68.15972726599229	62.5403420487657	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
CAR_R1	CAR_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2346785.0	0.0	35-75	36.0	42.10567305658239	69.56767748217241	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
