Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BEN_R1	28.45493021040481	36.0	62.43679515482269	9.090909090909092	2297047.0
BEN_R2	28.290131597749237	37.0	62.702820186091095	9.090909090909092	2297047.0
BILL_R1	25.554140766089247	36.0	63.545642409801154	9.090909090909092	2276304.0
BILL_R2	25.14605445203624	37.0	63.793351854585325	9.090909090909092	2276304.0
BOB_R1	21.269633782427547	36.0	63.14073638075317	9.090909090909092	2101603.0
BOB_R2	21.185157149123384	36.0	63.38273165769177	9.090909090909092	2101603.0
BOP_R1	20.536032809938476	37.0	65.5910141743999	9.090909090909092	2274382.0
BOP_R2	20.288409284970044	37.0	65.79121141479311	9.090909090909092	2274382.0
CARL_R1	32.16676740404124	36.0	62.26903303799966	9.090909090909092	1332617.0
CARL_R2	31.840272734007712	36.0	62.5403420487657	9.090909090909092	1332617.0
CAR_R1	57.89432694341761	36.0	69.56767748217241	18.181818181818183	2346785.0
CAR_R2	57.126580467990266	36.0	69.67921475550594	18.181818181818183	2346785.0
CCS1_R1	33.728755807876354	38.0	68.81202030691631	9.090909090909092	1833464.0
CCS1_R2	31.088236414514242	38.0	68.9667940030456	9.090909090909092	1833464.0
CCS2_R1	42.99134451802221	39.0	68.00739835599262	9.090909090909092	2788187.0
CCS2_R2	39.05720627508453	39.0	68.2349157355658	9.090909090909092	2788187.0
CCS3_R1	41.840229370303895	39.0	67.00127991577523	9.090909090909092	1329775.0
CCS3_R2	38.81735300669155	40.0	67.28279069767441	9.090909090909092	1329775.0
CCS4_R1	17.030439899931906	36.0	59.689209106657295	9.090909090909092	1880734.0
CCS4_R2	16.17127404229292	36.0	60.105234445700454	9.090909090909092	1880734.0
CCS5_R1	49.34509543311848	40.0	71.33865958146359	9.090909090909092	1538982.0
CCS5_R2	46.87173363301961	40.0	71.42891404837744	9.090909090909092	1538982.0
OC10A_R1	90.89237866253882	41.0	151.0	27.27272727272727	40616652.0
OC10A_R2	87.83508399531846	41.0	151.0	27.27272727272727	40616652.0
OC10B_R1	87.82833615127895	39.0	151.0	27.27272727272727	37615266.0
OC10B_R2	82.87884853893289	38.0	151.0	27.27272727272727	37615266.0
OC2B_R1	88.70878865121374	41.0	151.0	27.27272727272727	36785961.0
OC2B_R2	84.9847872331298	41.0	151.0	27.27272727272727	36785961.0
OC3A_R1	90.71310833915973	41.0	151.0	27.27272727272727	52981662.0
OC3A_R2	87.01877955712325	41.0	151.0	27.27272727272727	52981662.0
OC3D_R1	90.49875152392428	41.0	151.0	27.27272727272727	52245309.0
OC3D_R2	87.48259707392204	40.0	151.0	27.27272727272727	52245309.0
OC5C_R1	90.17023398735857	40.0	151.0	27.27272727272727	45030028.0
OC5C_R2	87.54685315668209	41.0	151.0	27.27272727272727	45030028.0
OC8L_R1	88.31408801513619	40.0	151.0	27.27272727272727	41657550.0
OC8L_R2	83.97525895581023	40.0	151.0	27.27272727272727	41657550.0
SDS1_R1	49.34857430854438	39.0	60.41839455578545	9.090909090909092	2483811.0
SDS1_R2	48.6931077555067	39.0	60.73759758693395	9.090909090909092	2483811.0
SDS2_R1	61.87341424561041	40.0	70.832046862723	18.181818181818183	7446601.0
SDS2_R2	60.58876771501739	40.0	70.88912377606911	18.181818181818183	7446601.0
TEX_R1	26.722300370135812	37.0	64.3700054603431	9.090909090909092	2045659.0
TEX_R2	26.375899017452625	37.0	64.61759413470182	9.090909090909092	2045659.0
UMP_R1	25.10642498087789	37.0	63.40745200046055	9.090909090909092	2127885.0
UMP_R2	24.731956923435575	37.0	63.66166545654488	9.090909090909092	2127885.0
