All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    BEN.assembly  BILL.assembly  BOB.assembly  BOP.assembly  CAR.assembly  CARL.assembly  CCS1.assembly  CCS2.assembly  CCS3.assembly  CCS4.assembly  CCS5.assembly  OC10A.assembly  OC10B.assembly  OC2B.assembly  OC3A.assembly  OC3D.assembly  OC5C.assembly  OC8L.assembly  SDS1.assembly  SDS2.assembly  TEX.assembly  UMP.assembly
# contigs (>= 0 bp)         296           407            347           186           2             3              553            529            1              359            1              98              95              89             85             82             79             273            1              224            222           624         
# contigs (>= 1000 bp)      256           395            332           99            1             2              539            518            1              350            1              33              32              30             36             35             39             54             1              171            181           385         
# contigs (>= 5000 bp)      87            184            197           79            1             1              166            196            1              179            1              24              23              21             32             31             33             35             1              111            125           149         
# contigs (>= 10000 bp)     31            91             104           68            1             1              58             58             1              80             1              19              19              16             32             31             33             31             1              78             87            76          
# contigs (>= 25000 bp)     6             23             23            46            1             1              3              3              1              25             1              13              14              11             27             26             28             19             1              37             40            21          
# contigs (>= 50000 bp)     2             5              8             22            1             1              1              1              1              2              1              12              14              11             19             19             19             13             1              13             10            4           
Total length (>= 0 bp)      1483151       3308905        3335849       3121296       141379        146927         2610253        2755718        57062          2870953        57572          2947897         3031102         2898158        3040893        3042979        3041168        3255694        55807          2852443        2851131       2827287     
Total length (>= 1000 bp)   1470297       3304013        3328715       3099086       141012        146585         2604619        2750626        57062          2866899        57572          2932039         3017061         2884662        3029543        3031685        3030277        3201078        55807          2838635        2832415       2740877     
Total length (>= 5000 bp)   1058098       2752016        2991632       3055094       141012        143298         1734743        1878827        57062          2403726        57572          2916308         3000045         2867683        3019653        3021795        3014953        3150400        55807          2698261        2689381       2169501     
Total length (>= 10000 bp)  682717        2110675        2318165       2970751       141012        143298         981578         911436         57062          1700681        57572          2877387         2968873         2830413        3019653        3021795        3014953        3116659        55807          2445459        2426625       1655359     
Total length (>= 25000 bp)  331511        1073663        1052297       2659425       141012        143298         190651         125809         57062          870007         57572          2772972         2883532         2745106        2940536        2942676        2935836        2927229        55807          1766614        1689408       803004      
Total length (>= 50000 bp)  198261        425437         541938        1840981       141012        143298         128315         57680          57062          108670         57572          2731799         2883532         2745106        2657017        2708662        2611038        2751798        55807          933178         649866        279107      
# contigs                   262           399            339           107           1             2              543            522            1              354            1              38              37              34             39             38             43             79             1              177            196           450         
Largest contig              145346        143364         140858        164134        141012        143298         128315         57680          57062          58393          57572          544229          544229          544229         293735         293732         293733         668266         55807          99838          111788        101897      
Total length                1475336       3307048        3333752       3105313       141012        146585         2607833        2753513        57062          2869643        57572          2935782         3020350         2887404        3031689        3033815        3033172        3216286        55807          2843016        2843048       2786683     
GC (%)                      36.60         36.97          36.87         37.17         35.84         35.86          38.36          37.54          39.76          37.20          40.03          37.36           37.23           37.30          37.24          37.24          37.25          37.06          39.94          37.62          38.04         37.86       
N50                         8867          14538          16355         59777         141012        143298         7588           7423           57062          13232          57572          250827          200789          250827         162174         165737         138585         221260         55807          33782          29611         12985       
N90                         2371          3463           4906          14663         141012        143298         1964           2609           57062          3672           57572          76003           111562          124590         48993          48993          40867          25838          55807          8450           7041          2569        
auN                         25556.5       26711.2        26557.1       67528.0       141012.0      140158.4       14788.2        10046.7        57062.0        18157.5        57572.0        295583.8        255002.1        308202.0       156703.7       160537.6       151558.7       307547.2       55807.0        40637.1        34015.7       20472.9     
L50                         37            54             53            17            1             1              95             113            1              58             1              4               5               4              7              7              8              4              1              26             31            54          
L90                         166           237            199           55            1             1              361            363            1              221            1              11              13              10             21             20             22             18             1              91             104           242         
# N's per 100 kbp           0.00          0.00           0.00          0.00          0.00          0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.00        
